date_id,day,month,year,quarter,day_of_week,date
-1,-1,-1,-1,-1,-1,1970-01-01
1,1,1,2023,1,0,2023-01-01
2,2,1,2023,1,1,2023-01-02
3,3,1,2023,1,2,2023-01-03
4,4,1,2023,1,3,2023-01-04
5,5,1,2023,1,4,2023-01-05
6,6,1,2023,1,5,2023-01-06
7,7,1,2023,1,6,2023-01-07
8,8,1,2023,1,0,2023-01-08
9,9,1,2023,1,1,2023-01-09
10,10,1,2023,1,2,2023-01-10
11,11,1,2023,1,3,2023-01-11
12,12,1,2023,1,4,2023-01-12
13,13,1,2023,1,5,2023-01-13
14,14,1,2023,1,6,2023-01-14
15,15,1,2023,1,0,2023-01-15
16,16,1,2023,1,1,2023-01-16
17,17,1,2023,1,2,2023-01-17
18,18,1,2023,1,3,2023-01-18
19,19,1,2023,1,4,2023-01-19
20,20,1,2023,1,5,2023-01-20
21,21,1,2023,1,6,2023-01-21
22,22,1,2023,1,0,2023-01-22
23,23,1,2023,1,1,2023-01-23
24,24,1,2023,1,2,2023-01-24
25,25,1,2023,1,3,2023-01-25
26,26,1,2023,1,4,2023-01-26
27,27,1,2023,1,5,2023-01-27
28,28,1,2023,1,6,2023-01-28
29,29,1,2023,1,0,2023-01-29
30,30,1,2023,1,1,2023-01-30
31,31,1,2023,1,2,2023-01-31
32,1,2,2023,1,3,2023-02-01
33,2,2,2023,1,4,2023-02-02
34,3,2,2023,1,5,2023-02-03
35,4,2,2023,1,6,2023-02-04
36,5,2,2023,1,0,2023-02-05
37,6,2,2023,1,1,2023-02-06
38,7,2,2023,1,2,2023-02-07
39,8,2,2023,1,3,2023-02-08
40,9,2,2023,1,4,2023-02-09
41,10,2,2023,1,5,2023-02-10
42,11,2,2023,1,6,2023-02-11
43,12,2,2023,1,0,2023-02-12
44,13,2,2023,1,1,2023-02-13
45,14,2,2023,1,2,2023-02-14
46,15,2,2023,1,3,2023-02-15
47,16,2,2023,1,4,2023-02-16
48,17,2,2023,1,5,2023-02-17
49,18,2,2023,1,6,2023-02-18
50,19,2,2023,1,0,2023-02-19
51,20,2,2023,1,1,2023-02-20
52,21,2,2023,1,2,2023-02-21
53,22,2,2023,1,3,2023-02-22
54,23,2,2023,1,4,2023-02-23
55,24,2,2023,1,5,2023-02-24
56,25,2,2023,1,6,2023-02-25
57,26,2,2023,1,0,2023-02-26
58,27,2,2023,1,1,2023-02-27
59,28,2,2023,1,2,2023-02-28
60,1,3,2023,1,3,2023-03-01
61,2,3,2023,1,4,2023-03-02
62,3,3,2023,1,5,2023-03-03
63,4,3,2023,1,6,2023-03-04
64,5,3,2023,1,0,2023-03-05
65,6,3,2023,1,1,2023-03-06
66,7,3,2023,1,2,2023-03-07
67,8,3,2023,1,3,2023-03-08
68,9,3,2023,1,4,2023-03-09
69,10,3,2023,1,5,2023-03-10
70,11,3,2023,1,6,2023-03-11
71,12,3,2023,1,0,2023-03-12
72,13,3,2023,1,1,2023-03-13
73,14,3,2023,1,2,2023-03-14
74,15,3,2023,1,3,2023-03-15
75,16,3,2023,1,4,2023-03-16
76,17,3,2023,1,5,2023-03-17
77,18,3,2023,1,6,2023-03-18
78,19,3,2023,1,0,2023-03-19
79,20,3,2023,1,1,2023-03-20
80,21,3,2023,1,2,2023-03-21
81,22,3,2023,1,3,2023-03-22
82,23,3,2023,1,4,2023-03-23
83,24,3,2023,1,5,2023-03-24
84,25,3,2023,1,6,2023-03-25
85,26,3,2023,1,0,2023-03-26
86,27,3,2023,1,1,2023-03-27
87,28,3,2023,1,2,2023-03-28
88,29,3,2023,1,3,2023-03-29
89,30,3,2023,1,4,2023-03-30
90,31,3,2023,1,5,2023-03-31
91,1,4,2023,2,6,2023-04-01
92,2,4,2023,2,0,2023-04-02
93,3,4,2023,2,1,2023-04-03
94,4,4,2023,2,2,2023-04-04
95,5,4,2023,2,3,2023-04-05
96,6,4,2023,2,4,2023-04-06
97,7,4,2023,2,5,2023-04-07
98,8,4,2023,2,6,2023-04-08
99,9,4,2023,2,0,2023-04-09
100,10,4,2023,2,1,2023-04-10
101,11,4,2023,2,2,2023-04-11
102,12,4,2023,2,3,2023-04-12
103,13,4,2023,2,4,2023-04-13
104,14,4,2023,2,5,2023-04-14
105,15,4,2023,2,6,2023-04-15
106,16,4,2023,2,0,2023-04-16
107,17,4,2023,2,1,2023-04-17
108,18,4,2023,2,2,2023-04-18
109,19,4,2023,2,3,2023-04-19
110,20,4,2023,2,4,2023-04-20
111,21,4,2023,2,5,2023-04-21
112,22,4,2023,2,6,2023-04-22
113,23,4,2023,2,0,2023-04-23
114,24,4,2023,2,1,2023-04-24
115,25,4,2023,2,2,2023-04-25
116,26,4,2023,2,3,2023-04-26
117,27,4,2023,2,4,2023-04-27
118,28,4,2023,2,5,2023-04-28
119,29,4,2023,2,6,2023-04-29
120,30,4,2023,2,0,2023-04-30
